% Model,cochlear_microphone PVDF piezo.mph
% Version,COMSOL 5.5.0.306
% Date,"Jul 30 2020, 23:20"
% Table,Charge Frequency Response - charge top plane
% freq (Hz),"Electric displacement field, z component (C)",abs(es.Dz) (C)
93547.02825743964,1.3198259325802951E-16,1.7619984142781542E-16
95726.01846452762,1.1499305677569712E-16,1.3104191138188937E-16
97955.76387368914,1.0643141360949286E-16,1.1118916030236572E-16
100237.44672545452,1.0119288514493373E-16,1.0156031460829842E-16
102572.27679827297,9.759940085703686E-17,9.760294576797826E-17
104961.49204995469,9.493573167649195E-17,9.49367125058425E-17
107406.35927405067,9.284378463684657E-17,9.284378463684657E-17
109908.17477152498,9.112249940198259E-17,9.112249940198259E-17
112468.26503806983,8.964803021739962E-17,8.964803021739962E-17
115087.98746743135,8.833717571423893E-17,8.833717571423893E-17
117768.7310711177,8.712844181763096E-17,8.712844181763096E-17
120511.91721487163,8.597070611596693E-17,8.597070611596693E-17
123319.00037229646,8.481474615562199E-17,8.481474615562199E-17
126191.46889603887,8.360446898358305E-17,8.360446898358305E-17
129130.84580693126,8.226405844236419E-17,8.226405844236419E-17
132138.68960151932,8.067336460350667E-17,8.067355750040429E-17
135216.5950783964,7.861040174538083E-17,7.86128534320215E-17
138366.19418378727,7.558763677278801E-17,7.685692581598429E-17
141589.15687682747,7.024148005854699E-17,8.95962064964148E-17
144887.19201499785,5.664371005984061E-17,1.4500690298977273E-16
148262.04826018357,-9.640983133747493E-17,8.984792563692504E-16
151715.51500583673,1.2705520314276548E-16,2.30215211523504E-16
155249.42332573858,1.0329200804179337E-16,1.2225997591593867E-16
158865.64694485645,9.61579052493515E-17,9.782342857672484E-17
162566.10323281994,9.255273566409375E-17,9.255273566409375E-17
166352.7542205342,9.02609596051984E-17,9.02609596051984E-17
170227.6076404752,8.858331457719777E-17,8.858331457719777E-17
174192.71799121596,8.721956158069416E-17,8.721956158069416E-17
178250.1876267492,8.600617569120022E-17,8.600617569120022E-17
182402.16787118197,8.482624108078961E-17,8.482624108078961E-17
186650.86015939852,8.356020547454909E-17,8.356020547454909E-17
190998.5172042874,8.20268846716548E-17,8.20268846716548E-17
195447.44419116227,7.983381902495967E-17,7.983381902495967E-17
200000.00000000003,7.573889919053947E-17,8.65133902021751E-17
204658.59845615076,6.185712565205306E-17,1.65763494833665E-16
209425.70961017974,1.506494174348725E-16,4.722350587297896E-16
214303.86104752144,9.799919402342438E-17,1.1983798693228613E-16
219295.63922863704,9.151570120918706E-17,9.160263516914865E-17
224403.69086039308,8.871521541029628E-17,8.871572111919008E-17
229630.72429937683,8.697138264671605E-17,8.697138264671605E-17
234979.5109879061,8.562979510853821E-17,8.562979510853821E-17
240452.88692348264,8.441293724286636E-17,8.441293724286636E-17
246053.75416247625,8.311312906855727E-17,8.311312906855727E-17
251785.08235883326,8.141064421935654E-17,8.14117364212766E-17
257649.91033862648,7.833210087286877E-17,8.195383926241082E-17
263651.3477112815,6.623600876098082E-17,1.6724222603542853E-16
269792.57651833066,1.0719496266056356E-16,2.233568668199161E-16
276076.85292057734,9.04683065206791E-17,9.439921094096745E-17
282507.50892455113,8.703860958862712E-17,8.703860958862712E-17
289087.9541491856,8.525192379401168E-17,8.525192379401168E-17
295821.67763364146,8.391554055928718E-17,8.391554055928718E-17
302712.24968724145,8.262645473834694E-17,8.262645473834694E-17
309763.323782496,8.099280958033597E-17,8.099280958033597E-17
316978.6384922229,7.774232883164531E-17,8.418115012627301E-17
324362.019471786,4.0576723056983596E-17,4.639224189704659E-16
331917.38148751267,9.017062346266003E-17,1.084471583512893E-16
339648.73049234925,8.532789243164205E-17,8.532981657629182E-17
347560.1657498753,8.341605961311535E-17,8.341605961311535E-17
355655.8820077846,8.203257160412786E-17,8.203257160412786E-17
363940.17172199656,8.05966330660481E-17,8.05966330660481E-17
372417.42733257316,7.827174411693921E-17,7.838844871698682E-17
381092.1435926497,6.311138799175418E-17,2.382557336197098E-16
389968.91995160916,8.661356076239172E-17,1.0102476176221216E-16
399052.4629937766,8.244377005561849E-17,8.244377005561849E-17
408347.5889339064,8.069909657189927E-17,8.069909657189927E-17
417859.22617080825,7.923645168739202E-17,7.923645168739202E-17
427592.41790044657,7.723414931826187E-17,7.723414931826187E-17
437552.3247899104,6.631550458740072E-17,1.9426696569663378E-16
447744.2277136676,8.246354797378348E-17,8.914714874375268E-17
458173.53055355407,7.911523200381089E-17,7.911523200381089E-17
468845.7630639846,7.741386465411136E-17,7.741386465411136E-17
479766.583803898,7.56362911857954E-17,7.56367938338107E-17
490941.7831370068,7.063574311063017E-17,1.0701105918553024E-16
502377.2863019165,7.912001428320253E-17,8.82929313311487E-17
514079.156553773,7.554580018769226E-17,7.554580018769226E-17
526053.5983790763,7.366505453497965E-17,7.366505453497965E-17
538306.9607853829,7.132564472450227E-17,7.132811075123832E-17
550845.7406676328,8.453543067509689E-17,2.465393805520483E-16
563676.5862528911,7.193009808874606E-17,7.193110170269272E-17
576806.3006253212,6.963143578607688E-17,6.963143578607688E-17
590241.8453332781,6.698681549920438E-17,6.708517113376897E-17
603990.3440804039,7.08199979793262E-17,9.835845944151477E-17
618059.0865027185,6.570848271166432E-17,6.570848271166432E-17
632455.5320336759,6.297025935947849E-17,6.297025935947849E-17
647187.3138592563,-8.564098839420281E-18,1.6089084979850258E-15
662262.2429651816,5.94190779829672E-17,5.94190779829672E-17
677688.3122784055,5.59196497001416E-17,5.592007088546008E-17
693473.7009050634,5.476194733492264E-17,6.201483658006006E-17
709626.7784671522,4.9558933046608105E-17,4.9558933046608105E-17
726156.1095402036,-2.0032672993713493E-16,6.7613531887582275E-15
743070.4581943457,4.0010988644115937E-17,4.01247975974303E-17
760378.7926411226,3.347158304111853E-17,3.4605214518849885E-17
778090.2899885611,2.184064557841556E-17,3.617266729173305E-17
796214.341106994,2.1126147304947246E-17,3.615725300284809E-17
814760.5556082245,7.043129568715485E-18,3.5602885188729486E-17
833738.7669406711,-9.661224911529121E-18,4.315273792541649E-17
853159.0376031853,-3.271112727789209E-17,5.848229482147729E-17
873031.6644803332,-6.749096454689457E-17,8.882922921998288E-17
893367.1843019271,-1.2660161662798007E-16,1.4787970595898887E-16
914176.3792297505,-2.4969680623782455E-16,2.816656066761936E-16
935470.2825743963,-6.646437236889097E-16,6.969988693432019E-16
957260.1846452762,4.335767083957542E-15,4.644808928918773E-15
979557.6387368914,6.851898548049879E-16,7.523034537820307E-16
